,GOOG,MSFT
2016-08-12,0.9521103913739233,1.1223349761296864
2016-08-15,0.9212879530422875,1.083205780199845
2016-08-16,0.9212879530422876,1.0604453870625583
2016-08-17,0.9383221753912897,1.0132738088047757
2016-08-18,0.9383221753912896,1.013273808804776
2016-08-19,0.9383221753912897,0.9564442510122108
2016-08-22,0.9383221753912896,0.9564442510122108
2016-08-23,0.8986501871236952,0.9244658444043142
2016-08-24,0.898650187123695,0.8907956549710948
2016-08-25,0.898650187123695,0.8692561953792577
2016-08-26,0.8986501871236952,0.8692561953792578
2016-08-29,0.8986501871236952,0.8611785003806086
2016-08-30,0.898650187123695,0.8611785003806083
2016-08-31,0.8986501871236952,0.8611785003806084
2016-09-01,0.903776633917582,0.8611785003806083
2016-09-02,0.8689857829727711,0.8611785003806084
2016-09-06,0.903776633917582,0.8659711781275411
2016-09-07,0.8689857829727711,0.8659711781275413
2016-09-08,0.8736500373927486,0.8734555706801884
2016-09-09,0.903776633917582,0.8982800475237419
2016-09-12,0.9383221753912897,0.8982800475237419
2016-09-13,0.949413726248012,0.8982800475237417
2016-09-14,0.949413726248012,0.9608598312914219
2016-09-15,0.9784739350869638,1.013013955532628
2016-09-16,0.9784739350869638,1.042755545939806
2016-09-19,1.0381623894674603,1.0617729845259731
2016-09-20,1.0381623894674603,1.061772984525973
2016-09-21,1.104356244867469,1.064319851756652
2016-09-22,1.127732761617666,1.064319851756652
2016-09-23,1.104356244867469,1.064319851756652
2016-09-26,1.104356244867469,1.0617729845259731
2016-09-27,1.1325602419782128,1.0643198517566521
2016-09-28,1.1325602419782128,1.064319851756652
2016-09-29,1.1948510367904133,1.1997897819088859
2016-09-30,1.1948510367904133,1.0643198517566521
2016-10-03,1.1948510367904133,1.061772984525973
2016-10-04,1.1325602419782128,1.064319851756652
2016-10-05,1.1325602419782128,1.0791854256580082
2016-10-06,1.1325602419782128,1.0791854256580082
2016-10-07,1.1325602419782128,1.0639302035123
2016-10-10,1.1325602419782128,1.0587677110909968
2016-10-11,1.1325602419782128,1.0613145783216764
2016-10-12,1.011219141703624,1.074022933236705
2016-10-13,0.9687821356412972,1.0740229332367053
2016-10-14,1.038726279709068,1.0679576173145318
2016-10-17,1.038726279709068,1.0436300450473637
2016-10-18,1.063432513353474,1.017805474213569
2016-10-19,1.038726279709068,0.986680537860328
2016-10-20,1.0087143197900934,1.017805474213569
2016-10-21,1.0087143197900934,1.0554355764615222
2016-10-24,1.0087143197900934,1.0858284646508642
2016-10-25,1.0087143197900934,1.0554355764615222
2016-10-26,1.038726279709068,1.0858284646508642
2016-10-27,1.038726279709068,1.0858284646508642
2016-10-28,1.063432513353474,1.1479590954654717
2016-10-31,1.1100632383234386,1.1479590954654717
2016-11-01,1.211839553972531,1.2093161607653466
2016-11-02,1.3040855934072044,1.1418937795432988
2016-11-03,1.3814261004947554,1.1418937795432984
2016-11-04,1.4308138937921364,1.2176528041806116
2016-11-07,1.4308138937921364,1.2280206056219878
2016-11-08,1.4308138937921364,1.2143922117992827
2016-11-09,1.4701694183034502,1.214392211799283
2016-11-10,1.5614032968510625,1.2143922117992825
2016-11-11,1.5614032968510625,1.228020605621988
2016-11-14,1.6272356375960029,1.25945330803176
2016-11-15,1.6272356375960029,1.2910618999686094
2016-11-16,1.7096997009350368,1.3597387131514087
2016-11-17,1.7096997009350368,1.3597387131514087
2016-11-18,1.8669488898943618,1.3431895389086836
2016-11-21,1.866948889894362,1.2910618999686094
2016-11-22,1.8669488898943623,1.2910618999686096
2016-11-23,1.866948889894362,1.3431895389086832
2016-11-25,1.8669488898943618,1.3431895389086832
2016-11-28,1.866948889894362,1.315455757511687
2016-11-29,1.866948889894362,1.3641469145433534
2016-11-30,1.9629791634920415,1.3995827320761396
2016-12-01,1.962979163492041,1.4161319063188649
2016-12-02,1.9629791634920415,1.416131906318865
2016-12-05,1.8332221842392027,1.4409229810441275
2016-12-06,1.833222184239203,1.4409229810441275
2016-12-07,1.8425258724051936,1.5291304385856233
2016-12-08,1.613191760404204,1.4409229810441275
2016-12-09,1.4829898587980397,1.4161319063188649
2016-12-12,1.4829898587980397,1.4015607316935088
2016-12-13,1.4474751012308378,1.4015607316935088
2016-12-14,1.4264521348394288,1.4015607316935088
2016-12-15,1.398539807193099,1.3938586955577188
2016-12-16,1.398539807193099,1.3778674812395917
2016-12-19,1.398539807193099,1.379845480856961
2016-12-20,1.398539807193099,1.3798454808569607
2016-12-21,1.398539807193099,1.3798454808569607
2016-12-22,1.3614378917404455,1.3520715955487086
2016-12-23,1.3614378917404455,1.3520715955487086
2016-12-27,1.3335654208966914,1.3614467287182126
2016-12-28,1.3614378917404455,1.3496640577280876
2016-12-29,1.3275110959579872,1.2799965239727031
2016-12-30,1.3275110959579872,1.2799965239727031
2017-01-03,1.3275110959579872,1.2799965239727031
2017-01-04,1.3038852438357655,1.2163100194052614
2017-01-05,1.2761294985389855,1.2163100194052614
2017-01-06,1.2761294985389855,1.2163100194052614
2017-01-09,1.258367867067801,1.1949248004663442
2017-01-10,1.2292678436485411,1.194924800466344
2017-01-11,1.2292678436485411,1.240640947033551
2017-01-12,1.1983005431366751,1.240640947033551
2017-01-13,1.1154639668336137,1.1949248004663444
2017-01-17,1.0294589894945685,1.1563415147396998
2017-01-18,0.9574552823328889,1.118082308618216
2017-01-19,0.92645651575163,1.118082308618216
2017-01-20,0.9264565157516299,1.082556376086605
2017-01-23,0.9264565157516301,1.082556376086605
2017-01-24,0.9690677612185681,1.1070116194019226
2017-01-25,1.0000665277998266,1.04610716504319
2017-01-26,1.0000665277998266,1.04610716504319
2017-01-27,1.0000665277998266,1.1070116194019224
2017-01-30,1.0294589894945685,1.197055929619164
2017-01-31,1.0294589894945685,1.197055929619164
2017-02-01,1.0294589894945685,1.255803205016759
2017-02-02,1.105400780702311,1.255803205016759
2017-02-03,1.0000665277998266,1.255803205016759
2017-02-06,0.969067761218568,1.161529997087553
2017-02-07,1.0000665277998266,1.161529997087553
2017-02-08,1.0447185602827824,1.0581427167927604
2017-02-09,1.0447185602827829,1.0581427167927604
2017-02-10,1.025389284719344,1.032764194965639
2017-02-13,1.0253892847193435,1.0581427167927604
2017-02-14,1.0253892847193435,1.0644472637865958
2017-02-15,1.025389284719344,1.0644472637865958
2017-02-16,1.025389284719343,1.0644472637865958
2017-02-17,1.0253892847193435,1.0644472637865958
2017-02-21,0.9169637873102244,1.0644472637865958
2017-02-22,0.8271741913165603,1.032764194965639
2017-02-23,0.8271741913165606,1.017060677377703
2017-02-24,0.7879858918632701,1.0092073840262814
2017-02-27,0.7793130936507635,0.9604012523939565
2017-02-28,0.7793130936507637,0.8992892423199386
2017-03-01,0.7793130936507634,0.8992892423199386
2017-03-02,0.7653899636706505,0.8992892423199387
2017-03-03,0.7292039530966088,0.8992892423199385
2017-03-06,0.7653899636706505,0.8992892423199386
2017-03-07,0.7653899636706505,0.9199329949577145
2017-03-08,0.7586527453234588,0.979359125416666
2017-03-09,0.7586527453234586,1.028165257048991
2017-03-10,0.7188758478591597,0.9678112236266636
2017-03-13,0.7188758478591599,0.9965424909819206
2017-03-14,0.761455339094113,0.9371163605229692
2017-03-15,0.761455339094113,0.9371163605229691
2017-03-16,0.761455339094113,0.9371163605229692
2017-03-17,0.761455339094113,0.8858250423445989
2017-03-20,0.7497491157663344,0.8858250423445989
2017-03-21,0.761455339094113,0.9371163605229692
2017-03-22,0.7721940409150583,0.9965424909819206
2017-03-23,0.7721940409150583,0.9965424909819206
2017-03-24,0.7833145771245171,0.9965424909819206
2017-03-27,0.8055156404728026,1.0309931944173254
2017-03-28,0.8055156404728026,1.048307112019021
2017-03-29,0.8055156404728027,1.0309931944173254
2017-03-30,0.8055156404728024,0.9965424909819206
2017-03-31,0.8055156404728026,1.0002983313136309
2017-04-03,0.8779883150903381,1.0002983313136309
2017-04-04,0.8446667155325938,1.0002983313136309
2017-04-05,0.9283012993168395,1.0002983313136309
2017-04-06,0.9683470813784981,0.9546937119759425
2017-04-07,0.9878109146412064,0.9546937119759424
2017-04-10,0.9878109146412064,0.9091653034833592
2017-04-11,1.1041906593162585,0.9891444154113473
2017-04-12,1.104190659316259,0.9091653034833591
2017-04-13,1.1041906593162585,1.0027024926813328
2017-04-17,1.2242059006147663,1.0027024926813328
2017-04-18,1.2242059006147663,1.0027024926813328
2017-04-19,1.1041906593162585,1.0027024926813328
2017-04-20,1.0830694508605268,0.9374187529986665
2017-04-21,0.8549898902572324,1.0027024926813328
2017-04-24,0.8549898902572324,0.9374187529986663
2017-04-25,0.854989890257232,0.9030442604083667
2017-04-26,0.8478245881722642,0.9030442604083666
2017-04-27,0.7397387860411474,0.9374187529986663
2017-04-28,0.8478245881722641,0.9742733573943856
2017-05-01,0.9595244041005064,0.9742733573943858
2017-05-02,0.9595244041005064,0.9030442604083666
2017-05-03,1.0830694508605268,0.9505938462762537
2017-05-04,1.0830694508605268,0.9030442604083668
2017-05-05,1.0064645881892174,0.8862024564299529
2017-05-08,1.1317108520275494,0.9225679150140512
2017-05-09,1.1317108520275492,0.9225679150140514
2017-05-10,0.9992992861042491,0.9186128993250492
2017-05-11,1.03354311786029,0.9186128993250492
2017-05-12,1.0335431178602905,0.9024346896169196
2017-05-15,0.9866029337715789,0.9186128993250492
2017-05-16,0.9866029337715788,0.927342694234672
2017-05-17,1.03354311786029,0.927342694234672
2017-05-18,1.1317108520275494,0.9466388305872516
2017-05-19,1.1317108520275494,0.9466388305872518
2017-05-22,1.0335431178602903,0.9761549189255756
2017-05-23,0.9866029337715787,0.9761549189255756
2017-05-24,0.9858363677811005,0.9466388305872516
2017-05-25,1.03354311786029,0.9466388305872516
2017-05-26,1.0225338956978194,0.9466388305872516
2017-05-30,0.9858363677811004,0.9186128993250492
2017-05-31,0.9858363677811006,0.9466388305872516
2017-06-01,0.9858363677811004,0.9529037668839944
2017-06-02,0.981768048567926,0.9914958052555344
2017-06-05,0.981768048567926,1.1651989274763337
2017-06-06,0.981768048567926,1.1651989274763337
2017-06-07,0.9817680485679259,1.2312896211815976
2017-06-08,0.9817680485679259,1.3307206099694089
2017-06-09,0.9817680485679255,1.3624464570061618
2017-06-12,1.0184655764846446,1.4054644701835062
2017-06-13,1.1062467143922035,1.4054644701835062
2017-06-14,1.1944330459604695,1.4054644701835062
2017-06-15,1.1944330459604697,1.4054644701835062
2017-06-16,1.1497981648964435,1.3624464570061618
2017-06-19,1.1654931480932504,1.3624464570061618
2017-06-20,1.1944330459604695,1.3624464570061618
2017-06-21,1.194433045960469,1.3624464570061618
2017-06-22,1.1944330459604695,1.3624464570061618
2017-06-23,1.1944330459604695,1.3746331334522457
2017-06-26,1.2109445202541465,1.4240308372255497
2017-06-27,1.221673059196185,1.437644217819144
2017-06-28,1.2216730591961855,1.4695335858951122
2017-06-29,1.2822522284221425,1.4695335858951122
2017-06-30,1.5045601783111668,1.4376442178191442
2017-07-03,1.8094208400735088,1.437644217819144
2017-07-05,1.854107929901041,1.4753042834212775
2017-07-06,1.8541079299010412,1.4753042834212775
2017-07-07,1.854107929901041,1.5734815114881258
2017-07-10,1.7186605537457398,1.503079676469156
2017-07-11,1.673973463918207,1.4726533008646578
2017-07-12,1.5313726663189766,1.4726533008646578
2017-07-13,1.317434378226935,1.4376442178191442
2017-07-14,1.2377272259371408,1.4376442178191442
2017-07-17,1.2377272259371406,1.4376442178191442
2017-07-18,1.317434378226935,1.4376442178191442
2017-07-19,1.317434378226935,1.386819579712072
2017-07-20,1.433902499066242,1.4095852756545582
2017-07-21,1.4339024990662417,1.4726533008646578
2017-07-24,1.5301418302354548,1.4095852756545582
2017-07-25,1.4952473799725134,1.3515269475498508
2017-07-26,1.4339024990662415,1.2102762990750169
2017-07-27,1.4339024990662417,1.2102762990750169
2017-07-28,1.4339024990662417,1.073004107006272
2017-07-31,1.4339024990662417,1.2102762990750169
2017-08-01,1.3629358001340637,1.1865680348034346
2017-08-02,1.362935800134064,1.1865680348034346
2017-08-03,1.3433364148536353,1.1865680348034346
2017-08-04,1.2978349929465067,1.0962534057974749
2017-08-07,1.2978349929465067,1.073004107006272
2017-08-08,1.2978349929465067,1.073004107006272
2017-08-09,1.275043788571848,1.073004107006272
2017-08-10,1.3433364148536353,1.0962534057974749
2017-08-11,1.3433364148536353,1.0962534057974749
2017-08-14,1.3433364148536355,1.0962534057974749
2017-08-15,1.3382445580587428,1.0962534057974749
2017-08-16,1.3382445580587428,1.13851065228528
2017-08-17,1.3382445580587428,1.13851065228528
2017-08-18,1.2176136788855,1.13851065228528
2017-08-21,1.0918328618721047,1.13851065228528
2017-08-22,1.091832861872105,1.1964087972878414
2017-08-23,1.091832861872105,1.1964087972878414
2017-08-24,1.091832861872105,1.13851065228528
2017-08-25,1.090195628969635,1.1855162814729412
2017-08-28,1.0707462480597327,1.13851065228528
2017-08-29,1.0901956289696348,1.13851065228528
2017-08-30,1.090195628969635,1.13851065228528
2017-08-31,1.092869807734853,1.1855162814729412
2017-09-01,1.092869807734853,1.2056192392425027
2017-09-05,1.0993673096584067,1.2263784152273909
2017-09-06,1.1189837007296335,1.2056192392425027
2017-09-07,1.1709340931422563,1.2263784152273909
2017-09-08,1.170934093142256,1.2263784152273909
2017-09-11,1.1709340931422558,1.2056192392425027
2017-09-12,1.1709340931422558,1.2056192392425027
2017-09-13,1.1709340931422558,1.2056192392425027
2017-09-14,1.170934093142256,1.2056192392425027
2017-09-15,1.120488654419386,1.2056192392425027
2017-09-18,1.170934093142256,1.2056192392425027
2017-09-19,1.1709340931422558,1.2056192392425027
2017-09-20,1.1709340931422563,1.2154858994124906
2017-09-21,1.217554570584796,1.2368026867141255
2017-09-22,1.1511854228583114,1.2368026867141255
2017-09-25,1.217554570584796,1.2673360270413716
2017-09-26,1.217554570584796,1.2673360270413716
2017-09-27,1.217554570584796,1.2673360270413716
2017-09-28,1.1671091318619262,1.2368026867141255
2017-09-29,1.1671091318619262,1.2006078081860896
2017-10-02,1.2440615441657878,1.142135830137969
2017-10-03,1.1671091318619262,1.0388088494240613
2017-10-04,1.085729773367552,1.142135830137969
2017-10-05,1.0857297733675517,1.142135830137969
2017-10-06,1.085729773367552,1.142135830137969
2017-10-09,1.0693250261655476,1.142135830137969
2017-10-10,1.085729773367552,1.0388088494240613
2017-10-11,1.1776923964393031,1.0388088494240613
2017-10-12,1.177692396439303,1.0388088494240613
2017-10-13,1.1626821856714136,0.9431031466133574
2017-10-16,1.0693250261655476,0.9251622013052532
2017-10-17,1.0572876936687885,0.9134391297583491
2017-10-18,1.0329475328649411,0.8989525284904734
2017-10-19,1.0329475328649407,0.8902195215875155
2017-10-20,1.032947532864941,0.8989525284904734
2017-10-23,1.032947532864941,0.8863870729061981
